cluster,field,academic_rank
-1.0,-,871
0.0,ครุศาสตร์เทคโนโลยี,2
0.0,ธรณีเทคนิค,1
0.0,นิวเคลียร์เทคโนโลยี,3
0.0,พลาสมาและเทคโนโลยีพลังงาน,1
0.0,วิทยาการสิ่งทอ,1
0.0,อาชีวะและเทคนิคศึกษา,1
0.0,เทคโนโลยีการขึ้นรูปโลหะ,1
0.0,เทคโนโลยีการจัดการพลังงาน,2
0.0,เทคโนโลยีการจัดการพลังงาน/เทคโนโลยีพลังงาน,1
0.0,เทคโนโลยีการบรรจุ,5
0.0,เทคโนโลยีการผลิต,5
0.0,เทคโนโลยีการผลิตพืช,3
0.0,เทคโนโลยีการผลิตสัตว์,7
0.0,เทคโนโลยีการพัฒนาผลิตภัณฑ์,2
0.0,เทคโนโลยีการพิมพ์,1
0.0,เทคโนโลยีการศึกษา,26
0.0,เทคโนโลยีการแพทย์,2
0.0,เทคโนโลยีชนบท,2
0.0,เทคโนโลยีชีวภาพ,50
0.0,เทคโนโลยีทางการศึกษา,14
0.0,เทคโนโลยีทางภาพ,1
0.0,เทคโนโลยีทางภาพและการพิมพ์,1
0.0,เทคโนโลยีธรณี,3
0.0,เทคโนโลยีปิโตรเคมี,1
0.0,เทคโนโลยีพลังงาน,6
0.0,เทคโนโลยีพอลิเมอร์,4
0.0,เทคโนโลยีพื้นพิภพ,1
0.0,เทคโนโลยีวัสดุ,3
0.0,เทคโนโลยีสนเทศศาสตร์,1
0.0,เทคโนโลยีหลังการเก็บเกี่ยว,5
0.0,เทคโนโลยีอิเล็กทรอนิกส์,1
0.0,เทคโนโลยีอุณหภาพ,3
0.0,เทคโนโลยีอุตสาหกรรม,5
0.0,เทคโนโลยีเครื่องกล,1
0.0,เทคโนโลยีเทคนิคศึกษา,1
0.0,เทคโนโลยีเลเซอร์,1
0.0,เทคโนโลยีและนวัตกรรมการศึกษา,1
0.0,เทคโนโลยีและสื่อสารการศึกษา,3
0.0,เทคโนโลีเซรามิกซ์,1
1.0,การพยาบาลสูติศาสตร์และนรีเวชวิทยา,3
1.0,ต่อมไร้ท่อทางนรีเวช,1
1.0,สุูติศาสตร์นรีเวชวิทยา,1
1.0,สูติ-นรีเวชวิทยา,5
1.0,สูติศาสตร์ เธนุเวชวิทยา และวิทยาการสืบพันธุ์,6
1.0,สูติศาสตร์ ไกเน่วิทยา แอนโดรวิทยาและการผสมเทียมสัตว์เลี้ยง,1
1.0,สูติศาสตร์- นรีเวชวิทยา,1
1.0,สูติศาสตร์-นรีเวชวิทยา,53
1.0,สูติศาสตร์-เธนุเวชวิทยาและวิทยาการสืบพันธุ์,1
1.0,สูติศาสตร์นรีเวชวิทยา,4
1.0,สูติศาสตร์เธนุเวชวิทยาและวิทยาการสืบพันธุ์,2
1.0,สูติศาสตร์และนรีเวชวิทยา,42
1.0,สูติศาสตร์และนรีเวชวิทยา(เวชศาสตร์มารดาและทารกในครรภ์),1
1.0,เวชปฏิบัติทั่วไปและระบาดวิทยาคลีนิค,1
2.0,กฎหมาย,33
2.0,กฎหมายทั่วไป,2
2.0,กฎหมายที่ดิน,2
2.0,กฎหมายธุรกิจ,1
2.0,กฎหมายปกครอง,1
2.0,กฎหมายพาณิชย์,1
2.0,กฎหมายพาณิชย์ กฎหมายมหาชน,1
2.0,กฎหมายมหาชน,8
2.0,กฎหมายระหว่างประเทศ,5
2.0,กฎหมายวิธีสบัญญัติ,2
2.0,กฎหมายสังคม,1
2.0,กฎหมายอาญา,3
2.0,กฎหมายเปรียบเทียบ,1
2.0,กฎหมายเศรษฐกิจ,1
2.0,กฎหมายแพ่ง,2
2.0,กฎหมายแพ่ง กฎหมายพาณิชย์,2
2.0,กฎหมายแพ่ง กฎหมายวิธีสบัญญัติ,1
2.0,การวิจัยดำเนินงานกฎหมาย,1
3.0,จุลกายวิภาคศาสตร์,1
3.0,จุลชีววิทยา,102
3.0,จุลชีววิทยา (สัตววิทยา),1
3.0,จุลชีววิทยา (ไวรัสวิทยา),1
3.0,จุลชีววิทยา(พิษวิทยา),1
3.0,จุลชีววิทยา/ภูมิคุ้มกันวิทยา/ชีววิทยาระดับโมเลกุล,1
3.0,จุลชีววิทยาคลินิก,1
3.0,จุลชีววิทยาช่องปาก,1
3.0,จุลชีววิทยาทางสัตวแพทย์,2
3.0,จุลชีววิทยาทางอาหาร,1
3.0,จุลชีววิทยาประยุกต์,1
3.0,จุลชีววิทยาและวิทยาภูมิคุ้มกัน,1
3.0,จุลชีววิทยาและวิทยาภูมิคุ้มกันทางสัตวแพทย์,1
3.0,จุลชีววิทยาและอิมมิวโนโลยี,1
3.0,จุลทรรศนศาสตร์คลินิก,3
3.0,จุลทรรศน์ศาสตร์คลินิก,1
3.0,ธาลัสซีเมีย/ จุลทรรศนศาสตร์คลินิก,1
4.0,การปกครอง,5
4.0,การระหว่างประเทศ,4
4.0,ความสัมพันธ์ระหว่างประเทศ,11
4.0,คหกรรมศาสตร์,13
4.0,ชีวสถิติ,8
4.0,ดนตรี,7
4.0,ดุริยางคศาสตร์,1
4.0,ดุริยางค์,1
4.0,ทฤษฎีศิลป์,2
4.0,ทฤษฏีรหัส,1
4.0,ทันกรรมประดิษฐ์,1
4.0,นิติศาสตร์,54
4.0,นิเทศศาสตร์,53
4.0,บรรณารักษศาสตร์,4
4.0,บรรณารักษ์ศาสตร์,14
4.0,ปรัชญา,9
4.0,ฟิสิกส,1
4.0,ระบบวัดคุม,1
4.0,รัฐประศาสนศาสตร์,46
4.0,วัฒนธรรมศาสตร์,1
4.0,วัสดุศาสตร์,18
4.0,วาริชศาสตร์,5
4.0,วิทยาการระบาด,5
4.0,วิสวกรรมไฟฟ้า,1
4.0,ศัยลศาสตร์,1
4.0,ศาสนา,1
4.0,สถิติ,35
4.0,สถิติศาสตร์,2
4.0,สถิิติ,1
4.0,สาขาวิชานิติศาสตร์,1
4.0,สาขาวิชานิเทศศาสตร์,1
4.0,ออร์โทปิดิกส์,5
4.0,ออร์โธปิดิกส์,24
4.0,ออร์โธปิดิคส์,1
4.0,อายรุศาสตร์,3
4.0,อายุรศาส,1
4.0,อิเล็กทรอนิกส์,7
4.0,เศรษฐศาตร์,3
5.0,กลศาสตร์ของไหล,1
5.0,กลศาสตร์หิน การวิเคราะห์ด้วยแบบจำลองทางคอมพิวเตอร์ และการสำรวจภาคสนาม,1
5.0,ครุศาสตร์เครื่องกล,9
5.0,วิทยาการหุ่นยนต์และระบบอัตโนมัติ,1
5.0,วิศวกรรมการบินและอวกาศ,1
5.0,วิศวกรรมการบินและอวกาศยาน,1
5.0,วิศวกรรมชลประทาน,4
5.0,วิศวกรรมทรัพยากรน้ำ,4
5.0,วิศวกรรมน้ำและการชลประทาน,1
5.0,วิศวกรรมพอลิเมอร์,4
5.0,วิศวกรรมอากาศยาน,1
5.0,วิศวกรรมเครื่องมือและวัสดุ,1
5.0,วิศวกรรมและเทคโนโลยีพอลิเมอร์,1
5.0,วิศวกรรมแหล่งน้ำ,8
5.0,"วิศวกรรมแหล่งน้ำ, ภาพถ่ายดาวเทียม, ระบบสารสนเทศภูมิศาสตร์",1
5.0,เครื่องกล,2
6.0,ความหลากหลายทางชีวภาพและนิเวศวิทยาจุลินทรีย์การเกษตร,1
6.0,ชีววิทยา,83
6.0,ชีววิทยา (พันธุศาสตร์),1
6.0,ชีววิทยาช่องปาก,12
6.0,ชีววิทยาทางทะเล,1
6.0,ชีววิทยาทางทะเล (แพลงก์ตอน),1
6.0,ชีววิทยาประมง,6
6.0,ชีววิทยาประยุกต์,1
6.0,ชีววิทยาป่าไม้,4
