academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
ศาสตราจารย์,Andrew Miles Kirk,,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,David James Harding,David J. Harding,มหาวิทยาลัยวลัยลักษณ์,Walailak University,เคมีอนินทรีย์,844.0,75.0,587.0,15.0,123.0,-,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
ศาสตราจารย์,Kimmo J. Kosonen,Kimmo Kosonen,มหาวิทยาลัยพายัพ,Payap University,-,81.0,6.0,75.0,4.0,1.0,-,อาจารย์วิทยาลัยเอกชน
ศาสตราจารย์,Larin K. Adams,Larin Adams,มหาวิทยาลัยพายัพ,Payap University,-,,,,1.0,,-,อาจารย์วิทยาลัยเอกชน
รองศาสตราจารย์,RAYMOND JAMES RITCHIE,Raymond James Ritchie,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,-,2234.0,91.0,1783.0,22.0,78.0,-,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
ศาสตราจารย์,Ramzi W. Nahhas,,มหาวิทยาลัยพายัพ,Payap University,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
ศาสตราจารย์,TILAK KARIYAWASAM,,วิทยาลัยพุทธศาสนานานาชาติ,International Buddhist College,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
ศาสตราจารย์,William Emitt Halal,William E. Halal,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,209.0,57.0,202.0,7.0,13.0,ปริญญาตรี,อาจารย์มหาวิทยาลัยเอกชน
รองศาสตราจารย์,กชกร เฉลิมกาญจนา,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กตัญญู หิรัญญสมบูรณ์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,การบริหารธุรกิจ,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กนก สีจร,Kanok Seejorn,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สูติศาสตร์-นรีเวชวิทยา,90.0,17.0,89.0,6.0,44.0,ปริญญาตรี,ข้าราชการ
รองศาสตราจารย์,กนกพร หมู่พยัคฆ์,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์,กนกรัตน์ ศิริพานิชกร,Kanokrat Siripanichakorn,มหาวิทยาลัยมหิดล,Mahidol University,จุลชีววิทยา,,,,1.0,,ปริญญาโท,ข้าราชการ
รองศาสตราจารย์พิเศษ,กนกวรรณ บุญญพิสิฎฐ์,Kanokwan Boonyapisit,มหาวิทยาลัยมหิดล,Mahidol University,อายุรศาสตร์,472.0,23.0,469.0,10.0,139.0,-,ข้าราชการ
รองศาสตราจารย์,กนกวรรณ วุฒิกนกกาญจน์,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
ศาสตราจารย์,กนกวลัย กุลทนันทน์,Kanokvalai Kulthanan,มหาวิทยาลัยมหิดล,Mahidol University,ตจวิทยา,1520.0,105.0,1334.0,19.0,390.0,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
