Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
0,ศาสตราจารย์,Andrew Miles Kirk,,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
1,รองศาสตราจารย์,David James Harding,David J. Harding,มหาวิทยาลัยวลัยลักษณ์,Walailak University,เคมีอนินทรีย์,844,75,587,15,123,-,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2,ศาสตราจารย์,Kimmo J. Kosonen,Kimmo Kosonen,มหาวิทยาลัยพายัพ,Payap University,-,81,6,75,4,1,-,อาจารย์วิทยาลัยเอกชน
3,ศาสตราจารย์,Larin K. Adams,Larin Adams,มหาวิทยาลัยพายัพ,Payap University,-,,,,1,,-,อาจารย์วิทยาลัยเอกชน
4,รองศาสตราจารย์,RAYMOND JAMES RITCHIE,Raymond James Ritchie,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,-,2234,91,1783,22,78,-,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
5,ศาสตราจารย์,Ramzi W. Nahhas,,มหาวิทยาลัยพายัพ,Payap University,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
6,ศาสตราจารย์,TILAK KARIYAWASAM,,วิทยาลัยพุทธศาสนานานาชาติ,International Buddhist College,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
7,ศาสตราจารย์,William Emitt Halal,William E. Halal,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,209,57,202,7,13,ปริญญาตรี,อาจารย์มหาวิทยาลัยเอกชน
8,รองศาสตราจารย์,กชกร เฉลิมกาญจนา,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
9,รองศาสตราจารย์,กตัญญู หิรัญญสมบูรณ์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,การบริหารธุรกิจ,,,,,,ปริญญาโท,ข้าราชการ
10,รองศาสตราจารย์,กนก สีจร,Kanok Seejorn,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สูติศาสตร์-นรีเวชวิทยา,90,17,89,6,44,ปริญญาตรี,ข้าราชการ
11,รองศาสตราจารย์,กนกพร หมู่พยัคฆ์,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
12,รองศาสตราจารย์,กนกรัตน์ ศิริพานิชกร,Kanokrat Siripanichakorn,มหาวิทยาลัยมหิดล,Mahidol University,จุลชีววิทยา,,,,1,,ปริญญาโท,ข้าราชการ
13,รองศาสตราจารย์พิเศษ,กนกวรรณ บุญญพิสิฎฐ์,Kanokwan Boonyapisit,มหาวิทยาลัยมหิดล,Mahidol University,อายุรศาสตร์,472,23,469,10,139,-,ข้าราชการ
14,รองศาสตราจารย์,กนกวรรณ วุฒิกนกกาญจน์,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
15,ศาสตราจารย์,กนกวลัย กุลทนันทน์,Kanokvalai Kulthanan,มหาวิทยาลัยมหิดล,Mahidol University,ตจวิทยา,1520,105,1334,19,390,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
