"academic_rank","thai_db_name","scopus_name","thai_affiliation","eng_affiliation","field","citation_count","doc_count","cited_by_count","h_index","co_author_count","highest_edu","employment_type","field_group","funded_by","missing_scopus","rank_i","passed"
"asso_prof","David James Harding","David J. Harding","มหาวิทยาลัยวลัยลักษณ์","Walailak University","เคมีอนินทรีย์",844,75,587,15,123,"-","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",FALSE,1,1
"prof","Kimmo J. Kosonen","Kimmo Kosonen","มหาวิทยาลัยพายัพ","Payap University","-",81,6,75,4,1,"-","อาจารย์วิทยาลัยเอกชน","unknown","private_university",FALSE,3,0
"prof","Larin K. Adams","Larin Adams","มหาวิทยาลัยพายัพ","Payap University","-",NA,NA,NA,1,NA,"-","อาจารย์วิทยาลัยเอกชน","unknown","private_university",TRUE,3,0
"asso_prof","RAYMOND JAMES RITCHIE","Raymond James Ritchie","มหาวิทยาลัยสงขลานครินทร์","Prince of Songkla University","-",2234,91,1783,22,78,"-","ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)","unknown","gov_university",FALSE,1,1
"prof","William Emitt Halal","William E. Halal","มหาวิทยาลัยกรุงเทพ","Bangkok University","-",209,57,202,7,13,"ปริญญาตรี","อาจารย์มหาวิทยาลัยเอกชน","unknown","private_university",FALSE,3,0
"asso_prof","กนก สีจร","Kanok Seejorn","มหาวิทยาลัยขอนแก่น","Khon Kaen University","สูติศาสตร์-นรีเวชวิทยา",90,17,89,6,44,"ปริญญาตรี","ข้าราชการ","medicine","government",FALSE,1,0
"asso_prof","กนกรัตน์ ศิริพานิชกร","Kanokrat Siripanichakorn","มหาวิทยาลัยมหิดล","Mahidol University","จุลชีววิทยา",NA,NA,NA,1,NA,"ปริญญาโท","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof_sp","กนกวรรณ บุญญพิสิฎฐ์","Kanokwan Boonyapisit","มหาวิทยาลัยมหิดล","Mahidol University","อายุรศาสตร์",472,23,469,10,139,"-","ข้าราชการ","medicine","government",FALSE,2,1
"prof","กนกวลัย กุลทนันทน์","Kanokvalai Kulthanan","มหาวิทยาลัยมหิดล","Mahidol University","ตจวิทยา",1520,105,1334,19,390,"ปริญญาตรี","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",FALSE,3,1
"asso_prof","กมล เผ่าสวัสดิ์","Sukhit Phaosavasdi","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","ทัศนศิลป์",155,91,126,7,78,"ปริญญาโท","ข้าราชการ","liberal_arts","government",FALSE,1,1
"asso_prof","กมลทิพย์ หาญผดุงกิจ","Kamolthip Harnphadungkit","มหาวิทยาลัยมหิดล","Mahidol University","เวชศาสตร์ฟื้นฟู",39,7,37,4,23,"ปริญญาตรี","ข้าราชการ","medicine","government",FALSE,1,0
"prof","กมลพร แก้วพรสวรรค์","Kamolporn Kaewpornsawan","มหาวิทยาลัยมหิดล","Mahidol University","ศัลยศาสตร์ออร์โธปิดิกส์",190,40,177,6,49,"ปริญญาตรี","ข้าราชการ","medicine","government",FALSE,3,0
"asso_prof","กมลพรรณ นามวงศ์พรหม","Kamolpun Namwongprom","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","พฤกษศาสตร์",NA,NA,NA,0,NA,"ปริญญาโท","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","กรรณิกา คงสาคร","Kannika Kongsakorn","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","คณิตศาสตร์",NA,NA,NA,0,NA,"ปริญญาโท","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","กรรณิกา ชัชวาลวานิช","Kannika Chatchavalvanich","มหาวิทยาลัยเกษตรศาสตร์","Kasetsart University","สัตววิทยา",120,16,107,8,27,"ปริญญาโท","ข้าราชการ","natural_science","government",FALSE,1,0
"asso_prof","กรรณิกา วิทย์สุภากร","Kannika Vitsupakorn","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","เวชศาสตร์ชุมชน",38,6,36,4,13,"ปริญญาโท","ข้าราชการ","medicine","government",FALSE,1,0
"prof","กรรณิการ์ พรพัฒน์กุล","Kannika Phornphutkul","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","อายุรศาสตร์",238,16,235,8,96,"ปริญญาตรี","ข้าราชการ","medicine","government",FALSE,3,0
"asso_prof","กรวลัย พันธุ์แพ","Kornvalai Panpae","มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี","King Mongkut’s University of Technology Thonburi","เคมีอนินทรีย์",NA,NA,NA,0,NA,"ปริญญาโท","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",TRUE,1,0
"asso_prof","กฤตยา อาชวนิจกุล","Kritaya Archavanitkul","มหาวิทยาลัยมหิดล","Mahidol University","วิจัยประชากรและสังคม",44,5,42,4,11,"ปริญญาโท","ต่ออายุราชการ","social_science","government",FALSE,1,0
"prof","กฤตย์วิกรม ดุรงค์พิศิษฎ์กุล","Kritvikrom Durongpisitkul","มหาวิทยาลัยมหิดล","Mahidol University","กุมารเวชศาสตร์",1326,53,1236,14,135,"ปริญญาตรี","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","medicine","gov_university",FALSE,3,1
"asso_prof","กฤตวัน ศิริบูรณ์","Kritawan Siriboon","สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง","King Mongkut's Institute of Technology Ladkrabang","วิศวกรรมคอมพิวเตอร์",35,15,27,4,14,"ปริญญาโท","ข้าราชการ","engineering","government",FALSE,1,0
"prof","กฤษฎา รัตนโอฬาร","Krisada Ratana-Olarn","มหาวิทยาลัยมหิดล","Mahidol University","ศัลยศาสตร์ระบบปัสสาวะ",287,33,277,9,60,"ปริญญาตรี","ต่ออายุราชการ","medicine","government",FALSE,3,0
"asso_prof","กฤษณา ปทีปโชติวงศ์","Kritsana Pathepchotiwong","มหาวิทยาลัยมหิดล","Mahidol University","จุลทรรศน์ศาสตร์คลินิก",66,5,66,2,14,"ปริญญาโท","ข้าราชการ","natural_science","government",FALSE,1,0
"prof","กฤษณา เพ็งสา","Krisana Pengsaa","มหาวิทยาลัยมหิดล","Mahidol University","กุมารเวชศาสตร์",1434,46,1216,15,128,"ปริญญาตรี","ต่ออายุราชการ","medicine","government",FALSE,3,1
"asso_prof","กฤษณา เลิศสุขประเสริฐ","Krisna Lertsukprasert","มหาวิทยาลัยมหิดล","Mahidol University","โสต ศอ นาสิก ลาริงซ์วิทยา",76,10,75,4,53,"ปริญญาโท","ข้าราชการ","medicine","government",FALSE,1,0
"asso_prof","กฤษณ์ ปิ่นทอง","Krit Pinthong","มหาวิทยาลัยราชภัฏสุรินทร์","Surindra Rajabhat University","ชีววิทยา",179,56,117,7,95,"ปริญญาโท","ข้าราชการ","natural_science","government",FALSE,1,0
"prof","กอบกาญจน์ ทองประสม","Kobkan Thongprasom","จุฬาลงกรณ์มหาวิทยาลัย","Chulalongkorn University","-",1942,51,1232,19,148,"-","ข้าราชการ","unknown","government",FALSE,3,1
"prof","กอบชัย พัววิไล","Gobchai Puavilai","มหาวิทยาลัยมหิดล","Mahidol University","อายุรศาสตร์",763,46,738,14,105,"ปริญญาตรี","ข้าราชการ","medicine","government",FALSE,3,1
"asso_prof","กัญญนันทน์ กฤษศิริวุฒินันท์","Kanyanan Kritsiriwuthinan","มหาวิทยาลัยรังสิต","Rangsit University","จุลชีววิทยา",53,10,51,5,21,"ปริญญาโท","อาจารย์มหาวิทยาลัยเอกชน","natural_science","private_university",FALSE,1,0
"asso_prof","กันยารัตน์ โตธนะรุ่งโรจน์","Kanyarat Totanarungroj","มหาวิทยาลัยมหิดล","Mahidol University","สูติ-นรีเวชวิทยา",25,8,25,3,12,"ปริญญาตรี","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","medicine","gov_university",FALSE,1,0
"asso_prof","กัมพล แก้วเกษ","Kampon Kaeoket","มหาวิทยาลัยมหิดล","Mahidol University","สูติศาสตร์ เธนุเวชวิทยา และวิทยาการสืบพันธุ์",612,47,413,15,69,"ปริญญาโท","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","medicine","gov_university",FALSE,1,1
"asso_prof","กัลณกา สาธิตธาดา","Gannaga Satittada","มหาวิทยาลัยแม่ฟ้าหลวง","Mae Fah Luang University","ฟิสิกส์",5,6,5,1,9,"ปริญญาโท","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",FALSE,1,0
"asso_prof","กัลยา ภราไดย","Kalaya Pharadai","มหาวิทยาลัยอีสเทิร์นเอเชีย","University of Eastern Asia","-",207,8,154,8,15,"ปริญญาโท","อาจารย์มหาวิทยาลัยเอกชน","unknown","private_university",FALSE,1,1
"asso_prof","กัลยา ศรีสุวรรณ","Galaya Srisuwan","มหาวิทยาลัยวลัยลักษณ์","Walailak University","วิศวกรรมสิ่งแวดล้อม",33,3,32,3,6,"-","ข้าราชการ","engineering","government",FALSE,1,0
"asso_prof","กัลยา เจือจันทร์","Kanlaya Chuachan","มหาวิทยาลัยขอนแก่น","Khon Kaen University","อายุรศาสตร์",3,3,3,1,12,"ปริญญาโท","ข้าราชการ","medicine","government",FALSE,1,0
"asso_prof","กัลยาณี คุปตานนท์","Kalayanee Kooptarnond","มหาวิทยาลัยสงขลานครินทร์","Prince of Songkla University","เคมี",182,31,171,7,35,"ปริญญาโท","ข้าราชการ","natural_science","government",FALSE,1,0
